accs,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.3065,398.0,373.0,912.0,365.0,644.0,647.0,22.0,288.0,355.0,238.0,40
0.3635,398.0,373.0,912.0,365.0,644.0,647.0,22.0,288.0,355.0,238.0,50
0.3793,398.0,373.0,912.0,365.0,644.0,647.0,22.0,288.0,355.0,238.0,60
0.1032,191.0,360.0,770.0,485.0,259.0,786.0,611.0,502.0,444.0,315.0,10
0.2457,191.0,360.0,770.0,485.0,259.0,786.0,611.0,502.0,444.0,315.0,20
0.3249,191.0,360.0,770.0,485.0,259.0,786.0,611.0,502.0,444.0,315.0,30
0.3585,191.0,360.0,770.0,485.0,259.0,786.0,611.0,502.0,444.0,315.0,40
0.4,191.0,360.0,770.0,485.0,259.0,786.0,611.0,502.0,444.0,315.0,50
0.4289,191.0,360.0,770.0,485.0,259.0,786.0,611.0,502.0,444.0,315.0,60
0.1126,81.0,411.0,267.0,246.0,706.0,809.0,976.0,503.0,76.0,31.0,10
0.2063,81.0,411.0,267.0,246.0,706.0,809.0,976.0,503.0,76.0,31.0,20
0.2539,81.0,411.0,267.0,246.0,706.0,809.0,976.0,503.0,76.0,31.0,30
0.2782,81.0,411.0,267.0,246.0,706.0,809.0,976.0,503.0,76.0,31.0,40
0.2987,81.0,411.0,267.0,246.0,706.0,809.0,976.0,503.0,76.0,31.0,50
0.3195,81.0,411.0,267.0,246.0,706.0,809.0,976.0,503.0,76.0,31.0,60
0.1996,98.0,724.0,274.0,220.0,654.0,848.0,427.0,857.0,669.0,48.0,10
0.257,98.0,724.0,274.0,220.0,654.0,848.0,427.0,857.0,669.0,48.0,20
0.3117,98.0,724.0,274.0,220.0,654.0,848.0,427.0,857.0,669.0,48.0,30
0.3571,98.0,724.0,274.0,220.0,654.0,848.0,427.0,857.0,669.0,48.0,40
0.3656,98.0,724.0,274.0,220.0,654.0,848.0,427.0,857.0,669.0,48.0,50
0.4,98.0,724.0,274.0,220.0,654.0,848.0,427.0,857.0,669.0,48.0,60
0.1689,481.0,99.0,374.0,846.0,555.0,106.0,656.0,46.0,487.0,902.0,10
0.2785,481.0,99.0,374.0,846.0,555.0,106.0,656.0,46.0,487.0,902.0,20
0.3066,481.0,99.0,374.0,846.0,555.0,106.0,656.0,46.0,487.0,902.0,30
0.3322,481.0,99.0,374.0,846.0,555.0,106.0,656.0,46.0,487.0,902.0,40
0.3497,481.0,99.0,374.0,846.0,555.0,106.0,656.0,46.0,487.0,902.0,50
0.3738,481.0,99.0,374.0,846.0,555.0,106.0,656.0,46.0,487.0,902.0,60
0.1722,368.0,621.0,898.0,963.0,775.0,132.0,229.0,399.0,155.0,595.0,10
0.193,368.0,621.0,898.0,963.0,775.0,132.0,229.0,399.0,155.0,595.0,20
0.2606,368.0,621.0,898.0,963.0,775.0,132.0,229.0,399.0,155.0,595.0,30
0.3177,368.0,621.0,898.0,963.0,775.0,132.0,229.0,399.0,155.0,595.0,40
0.351,368.0,621.0,898.0,963.0,775.0,132.0,229.0,399.0,155.0,595.0,50
0.3676,368.0,621.0,898.0,963.0,775.0,132.0,229.0,399.0,155.0,595.0,60
0.1,535.0,429.0,746.0,426.0,836.0,792.0,462.0,164.0,921.0,555.0,10
0.2345,535.0,429.0,746.0,426.0,836.0,792.0,462.0,164.0,921.0,555.0,20
0.2882,535.0,429.0,746.0,426.0,836.0,792.0,462.0,164.0,921.0,555.0,30
0.3377,535.0,429.0,746.0,426.0,836.0,792.0,462.0,164.0,921.0,555.0,40
0.4006,535.0,429.0,746.0,426.0,836.0,792.0,462.0,164.0,921.0,555.0,50
0.4068,535.0,429.0,746.0,426.0,836.0,792.0,462.0,164.0,921.0,555.0,60
0.1777,799.0,335.0,701.0,572.0,22.0,110.0,201.0,827.0,857.0,177.0,10
0.2105,799.0,335.0,701.0,572.0,22.0,110.0,201.0,827.0,857.0,177.0,20
0.2697,799.0,335.0,701.0,572.0,22.0,110.0,201.0,827.0,857.0,177.0,30
0.3275,799.0,335.0,701.0,572.0,22.0,110.0,201.0,827.0,857.0,177.0,40
0.3447,799.0,335.0,701.0,572.0,22.0,110.0,201.0,827.0,857.0,177.0,50
0.3778,799.0,335.0,701.0,572.0,22.0,110.0,201.0,827.0,857.0,177.0,60
0.1606,40.0,712.0,502.0,888.0,552.0,238.0,150.0,32.0,365.0,613.0,10
0.2103,40.0,712.0,502.0,888.0,552.0,238.0,150.0,32.0,365.0,613.0,20
0.2657,40.0,712.0,502.0,888.0,552.0,238.0,150.0,32.0,365.0,613.0,30
0.2958,40.0,712.0,502.0,888.0,552.0,238.0,150.0,32.0,365.0,613.0,40
0.3106,40.0,712.0,502.0,888.0,552.0,238.0,150.0,32.0,365.0,613.0,50
0.3302,40.0,712.0,502.0,888.0,552.0,238.0,150.0,32.0,365.0,613.0,60
0.2516,1349.0,295.0,1397.0,249.0,238.0,696.0,1185.0,1112.0,96.0,613.0,10
0.3182,1349.0,295.0,1397.0,249.0,238.0,696.0,1185.0,1112.0,96.0,613.0,20
0.3547,1349.0,295.0,1397.0,249.0,238.0,696.0,1185.0,1112.0,96.0,613.0,30
0.3863,1349.0,295.0,1397.0,249.0,238.0,696.0,1185.0,1112.0,96.0,613.0,40
0.4033,1349.0,295.0,1397.0,249.0,238.0,696.0,1185.0,1112.0,96.0,613.0,50
0.421,1349.0,295.0,1397.0,249.0,238.0,696.0,1185.0,1112.0,96.0,613.0,60
0.2942,1112.0,518.0,466.0,297.0,776.0,1330.0,1397.0,1178.0,937.0,1125.0,10
